time,obstacle_id,x,y,z,radius
0.0,slow_crossing_ball,12.0,-8.0,-3.0,0.45
0.5,slow_crossing_ball,12.0,-8.0,-3.0,0.45
1.0,slow_crossing_ball,12.0,-8.0,-3.0,0.45
1.5,slow_crossing_ball,12.0,-8.0,-3.0,0.45
2.0,slow_crossing_ball,12.0,-8.0,-3.0,0.45
2.5,slow_crossing_ball,12.0,-8.0,-3.0,0.45
3.0,slow_crossing_ball,12.0,-8.0,-3.0,0.45
3.5,slow_crossing_ball,12.0,-8.0,-3.0,0.45
4.0,slow_crossing_ball,12.0,-8.0,-3.0,0.45
4.5,slow_crossing_ball,12.0,-8.0,-3.0,0.45
5.0,slow_crossing_ball,12.0,-8.0,-3.0,0.45
5.5,slow_crossing_ball,12.0,-7.65,-3.0,0.45
6.0,slow_crossing_ball,12.0,-7.3,-3.0,0.45
6.5,slow_crossing_ball,12.0,-6.95,-3.0,0.45
7.0,slow_crossing_ball,12.0,-6.6,-3.0,0.45
7.5,slow_crossing_ball,12.0,-6.25,-3.0,0.45
8.0,slow_crossing_ball,12.0,-5.9,-3.0,0.45
8.5,slow_crossing_ball,12.0,-5.55,-3.0,0.45
9.0,slow_crossing_ball,12.0,-5.2,-3.0,0.45
9.5,slow_crossing_ball,12.0,-4.85,-3.0,0.45
10.0,slow_crossing_ball,12.0,-4.5,-3.0,0.45
10.5,slow_crossing_ball,12.0,-4.15,-3.0,0.45
11.0,slow_crossing_ball,12.0,-3.8,-3.0,0.45
11.5,slow_crossing_ball,12.0,-3.45,-3.0,0.45
12.0,slow_crossing_ball,12.0,-3.1,-3.0,0.45
12.5,slow_crossing_ball,12.0,-2.75,-3.0,0.45
13.0,slow_crossing_ball,12.0,-2.4,-3.0,0.45
13.5,slow_crossing_ball,12.0,-2.05,-3.0,0.45
14.0,slow_crossing_ball,12.0,-1.7,-3.0,0.45
14.5,slow_crossing_ball,12.0,-1.35,-3.0,0.45
15.0,slow_crossing_ball,12.0,-1.0,-3.0,0.45
15.5,slow_crossing_ball,12.0,-0.65,-3.0,0.45
16.0,slow_crossing_ball,12.0,-0.3,-3.0,0.45
16.5,slow_crossing_ball,12.0,0.05,-3.0,0.45
17.0,slow_crossing_ball,12.0,0.4,-3.0,0.45
17.5,slow_crossing_ball,12.0,0.75,-3.0,0.45
18.0,slow_crossing_ball,12.0,1.1,-3.0,0.45
18.5,slow_crossing_ball,12.0,1.45,-3.0,0.45
19.0,slow_crossing_ball,12.0,1.8,-3.0,0.45
19.5,slow_crossing_ball,12.0,2.15,-3.0,0.45
20.0,slow_crossing_ball,12.0,2.5,-3.0,0.45
20.5,slow_crossing_ball,12.0,2.85,-3.0,0.45
21.0,slow_crossing_ball,12.0,3.2,-3.0,0.45
21.5,slow_crossing_ball,12.0,3.55,-3.0,0.45
22.0,slow_crossing_ball,12.0,3.9,-3.0,0.45
22.5,slow_crossing_ball,12.0,4.25,-3.0,0.45
23.0,slow_crossing_ball,12.0,4.6,-3.0,0.45
23.5,slow_crossing_ball,12.0,4.95,-3.0,0.45
24.0,slow_crossing_ball,12.0,5.3,-3.0,0.45
24.5,slow_crossing_ball,12.0,5.65,-3.0,0.45
25.0,slow_crossing_ball,12.0,6.0,-3.0,0.45
25.5,slow_crossing_ball,12.0,6.35,-3.0,0.45
26.0,slow_crossing_ball,12.0,6.7,-3.0,0.45
26.5,slow_crossing_ball,12.0,7.05,-3.0,0.45
27.0,slow_crossing_ball,12.0,7.4,-3.0,0.45
27.5,slow_crossing_ball,12.0,7.75,-3.0,0.45
28.0,slow_crossing_ball,12.0,8.1,-3.0,0.45
28.5,slow_crossing_ball,12.0,8.45,-3.0,0.45
29.0,slow_crossing_ball,12.0,8.8,-3.0,0.45
29.5,slow_crossing_ball,12.0,9.15,-3.0,0.45
30.0,slow_crossing_ball,12.0,9.5,-3.0,0.45
30.5,slow_crossing_ball,12.0,9.85,-3.0,0.45
31.0,slow_crossing_ball,12.0,10.2,-3.0,0.45
31.5,slow_crossing_ball,12.0,10.55,-3.0,0.45
32.0,slow_crossing_ball,12.0,10.9,-3.0,0.45
32.5,slow_crossing_ball,12.0,11.25,-3.0,0.45
33.0,slow_crossing_ball,12.0,11.6,-3.0,0.45
33.5,slow_crossing_ball,12.0,11.95,-3.0,0.45
34.0,slow_crossing_ball,12.0,11.7,-3.0,0.45
34.5,slow_crossing_ball,12.0,11.35,-3.0,0.45
35.0,slow_crossing_ball,12.0,11.0,-3.0,0.45
35.5,slow_crossing_ball,12.0,10.65,-3.0,0.45
36.0,slow_crossing_ball,12.0,10.3,-3.0,0.45
36.5,slow_crossing_ball,12.0,9.95,-3.0,0.45
37.0,slow_crossing_ball,12.0,9.6,-3.0,0.45
37.5,slow_crossing_ball,12.0,9.25,-3.0,0.45
38.0,slow_crossing_ball,12.0,8.9,-3.0,0.45
38.5,slow_crossing_ball,12.0,8.55,-3.0,0.45
39.0,slow_crossing_ball,12.0,8.2,-3.0,0.45
39.5,slow_crossing_ball,12.0,7.85,-3.0,0.45
40.0,slow_crossing_ball,12.0,7.5,-3.0,0.45
