time,obstacle_id,x,y,z,radius
0.0,crossing_ball_left,11.0,-12.0,-3.0,0.5
0.0,crossing_ball_right,17.0,18.0,-3.0,0.5
0.0,center_patrol_ball,23.6306,11.1942,-3.0,0.45
0.5,crossing_ball_left,11.0,-12.0,-3.0,0.5
0.5,crossing_ball_right,17.0,18.0,-3.0,0.5
0.5,center_patrol_ball,22.9855,11.3908,-3.0,0.45
1.0,crossing_ball_left,11.0,-12.0,-3.0,0.5
1.0,crossing_ball_right,17.0,18.0,-3.0,0.5
1.0,center_patrol_ball,22.3183,11.4887,-3.0,0.45
1.5,crossing_ball_left,11.0,-12.0,-3.0,0.5
1.5,crossing_ball_right,17.0,18.0,-3.0,0.5
1.5,center_patrol_ball,21.644,11.4859,-3.0,0.45
2.0,crossing_ball_left,11.0,-12.0,-3.0,0.5
2.0,crossing_ball_right,17.0,18.0,-3.0,0.5
2.0,center_patrol_ball,20.9776,11.3823,-3.0,0.45
2.5,crossing_ball_left,11.0,-12.0,-3.0,0.5
2.5,crossing_ball_right,17.0,18.0,-3.0,0.5
2.5,center_patrol_ball,20.3342,11.1803,-3.0,0.45
3.0,crossing_ball_left,11.0,-12.0,-3.0,0.5
3.0,crossing_ball_right,17.0,18.0,-3.0,0.5
3.0,center_patrol_ball,19.7282,10.8844,-3.0,0.45
3.5,crossing_ball_left,11.0,-12.0,-3.0,0.5
3.5,crossing_ball_right,17.0,18.0,-3.0,0.5
3.5,center_patrol_ball,19.1732,10.5013,-3.0,0.45
4.0,crossing_ball_left,11.0,-12.0,-3.0,0.5
4.0,crossing_ball_right,17.0,18.0,-3.0,0.5
4.0,center_patrol_ball,18.6817,10.0396,-3.0,0.45
4.5,crossing_ball_left,11.0,-11.55,-3.0,0.5
4.5,crossing_ball_right,17.0,18.0,-3.0,0.5
4.5,center_patrol_ball,18.2648,9.5096,-3.0,0.45
5.0,crossing_ball_left,11.0,-11.1,-3.0,0.5
5.0,crossing_ball_right,17.0,18.0,-3.0,0.5
5.0,center_patrol_ball,17.9317,8.9232,-3.0,0.45
5.5,crossing_ball_left,11.0,-10.65,-3.0,0.5
5.5,crossing_ball_right,17.0,18.0,-3.0,0.5
5.5,center_patrol_ball,17.69,8.2937,-3.0,0.45
6.0,crossing_ball_left,11.0,-10.2,-3.0,0.5
6.0,crossing_ball_right,17.0,18.0,-3.0,0.5
6.0,center_patrol_ball,17.545,7.635,-3.0,0.45
6.5,crossing_ball_left,11.0,-9.75,-3.0,0.5
6.5,crossing_ball_right,17.0,18.0,-3.0,0.5
6.5,center_patrol_ball,17.5002,6.9622,-3.0,0.45
7.0,crossing_ball_left,11.0,-9.3,-3.0,0.5
7.0,crossing_ball_right,17.0,18.0,-3.0,0.5
7.0,center_patrol_ball,17.5563,6.2901,-3.0,0.45
7.5,crossing_ball_left,11.0,-8.85,-3.0,0.5
7.5,crossing_ball_right,17.0,18.0,-3.0,0.5
7.5,center_patrol_ball,17.7123,5.6341,-3.0,0.45
8.0,crossing_ball_left,11.0,-8.4,-3.0,0.5
8.0,crossing_ball_right,17.0,18.0,-3.0,0.5
8.0,center_patrol_ball,17.9646,5.0087,-3.0,0.45
8.5,crossing_ball_left,11.0,-7.95,-3.0,0.5
8.5,crossing_ball_right,17.0,17.5,-3.0,0.5
8.5,center_patrol_ball,18.3075,4.428,-3.0,0.45
9.0,crossing_ball_left,11.0,-7.5,-3.0,0.5
9.0,crossing_ball_right,17.0,17.0,-3.0,0.5
9.0,center_patrol_ball,18.7333,3.9051,-3.0,0.45
9.5,crossing_ball_left,11.0,-7.05,-3.0,0.5
9.5,crossing_ball_right,17.0,16.5,-3.0,0.5
9.5,center_patrol_ball,19.2325,3.4516,-3.0,0.45
10.0,crossing_ball_left,11.0,-6.6,-3.0,0.5
10.0,crossing_ball_right,17.0,16.0,-3.0,0.5
10.0,center_patrol_ball,19.7938,3.0779,-3.0,0.45
10.5,crossing_ball_left,11.0,-6.15,-3.0,0.5
10.5,crossing_ball_right,17.0,15.5,-3.0,0.5
10.5,center_patrol_ball,20.4047,2.7923,-3.0,0.45
11.0,crossing_ball_left,11.0,-5.7,-3.0,0.5
11.0,crossing_ball_right,17.0,15.0,-3.0,0.5
11.0,center_patrol_ball,21.0514,2.6011,-3.0,0.45
11.5,crossing_ball_left,11.0,-5.25,-3.0,0.5
11.5,crossing_ball_right,17.0,14.5,-3.0,0.5
11.5,center_patrol_ball,21.7194,2.5088,-3.0,0.45
12.0,crossing_ball_left,11.0,-4.8,-3.0,0.5
12.0,crossing_ball_right,17.0,14.0,-3.0,0.5
12.0,center_patrol_ball,22.3937,2.5173,-3.0,0.45
12.5,crossing_ball_left,11.0,-4.35,-3.0,0.5
12.5,crossing_ball_right,17.0,13.5,-3.0,0.5
12.5,center_patrol_ball,23.0592,2.6264,-3.0,0.45
13.0,crossing_ball_left,11.0,-3.9,-3.0,0.5
13.0,crossing_ball_right,17.0,13.0,-3.0,0.5
13.0,center_patrol_ball,23.7009,2.8338,-3.0,0.45
13.5,crossing_ball_left,11.0,-3.45,-3.0,0.5
13.5,crossing_ball_right,17.0,12.5,-3.0,0.5
13.5,center_patrol_ball,24.3044,3.1348,-3.0,0.45
14.0,crossing_ball_left,11.0,-3.0,-3.0,0.5
14.0,crossing_ball_right,17.0,12.0,-3.0,0.5
14.0,center_patrol_ball,24.8561,3.5226,-3.0,0.45
14.5,crossing_ball_left,11.0,-2.55,-3.0,0.5
14.5,crossing_ball_right,17.0,11.5,-3.0,0.5
14.5,center_patrol_ball,25.3437,3.9884,-3.0,0.45
15.0,crossing_ball_left,11.0,-2.1,-3.0,0.5
15.0,crossing_ball_right,17.0,11.0,-3.0,0.5
15.0,center_patrol_ball,25.7562,4.5219,-3.0,0.45
15.5,crossing_ball_left,11.0,-1.65,-3.0,0.5
15.5,crossing_ball_right,17.0,10.5,-3.0,0.5
15.5,center_patrol_ball,26.0843,5.1111,-3.0,0.45
16.0,crossing_ball_left,11.0,-1.2,-3.0,0.5
16.0,crossing_ball_right,17.0,10.0,-3.0,0.5
